long,lat,suitability,species
39.25,-7.25,1,silky shark
39.75,-7.25,1,silky shark
40.25,-7.25,1,silky shark
40.75,-7.25,0.6899999976158142,silky shark
41.25,-7.25,0.4699999988079071,silky shark
41.75,-7.25,0.3199999928474426,silky shark
42.25,-7.25,0.20000000298023224,silky shark
42.75,-7.25,0.10999999940395357,silky shark
43.25,-7.25,0.03999999910593033,silky shark
45.75,-7.25,0.119999997317791,silky shark
46.25,-7.25,0.47999998927116394,silky shark
46.75,-7.25,0.3199999928474426,silky shark
47.25,-7.25,0.36000001430511475,silky shark
47.75,-7.25,0.23999999463558197,silky shark
48.25,-7.25,0.05000000074505806,silky shark
48.75,-7.25,0.3799999952316284,silky shark
49.25,-7.25,0.4900000095367432,silky shark
49.75,-7.25,0.4600000083446502,silky shark
50.25,-7.25,0.14000000059604645,silky shark
51.75,-7.25,0.05000000074505806,silky shark
52.25,-7.25,0.15000000596046448,silky shark
52.75,-7.25,1,silky shark
53.25,-7.25,0.7099999785423279,silky shark
53.75,-7.25,0.18000000715255737,silky shark
39.25,-7.75,1,silky shark
39.75,-7.75,1,silky shark
40.25,-7.75,1,silky shark
40.75,-7.75,0.6100000143051147,silky shark
41.25,-7.75,0.4000000059604645,silky shark
41.75,-7.75,0.30000001192092896,silky shark
42.25,-7.75,0.18000000715255737,silky shark
42.75,-7.75,0.10000000149011612,silky shark
43.25,-7.75,0.05000000074505806,silky shark
43.75,-7.75,0.00999999977648258,silky shark
45.75,-7.75,0.20999999344348907,silky shark
46.25,-7.75,0.07000000029802322,silky shark
46.75,-7.75,0.5699999928474426,silky shark
47.25,-7.75,0.8500000238418579,silky shark
47.75,-7.75,0.9900000095367432,silky shark
48.25,-7.75,0.20999999344348907,silky shark
49.25,-7.75,0.3100000023841858,silky shark
49.75,-7.75,0.3100000023841858,silky shark
50.25,-7.75,0.27000001072883606,silky shark
50.75,-7.75,0.3100000023841858,silky shark
51.75,-7.75,0.05000000074505806,silky shark
52.25,-7.75,0.07000000029802322,silky shark
52.75,-7.75,0.7300000190734863,silky shark
53.25,-7.75,0.7300000190734863,silky shark
53.75,-7.75,0.07000000029802322,silky shark
39.25,-8.25,1,silky shark
39.75,-8.25,1,silky shark
40.25,-8.25,0.9100000262260436,silky shark
40.75,-8.25,0.5600000023841858,silky shark
41.25,-8.25,0.3799999952316284,silky shark
